X,Y
4493.8,-2306.8
4422.67,-2318.16
4585.77,-2313.19
4438.84,-2413.33
4295.57,-2323.24
4543.8,-2432.53
4619.36,-2432.5
4627.46,-2312.75
4383.81,-2488.21
4564.7,-2480.2
3807.77,-2442.78
3833.87,-2492.3
3815.6,-2561.53
4256.72,-2474.29
4176.65,-2477.48
4191.81,-2511.12
4317.65,-2506.27
4274.1,-2530.12
4203.51,-2566.15
4280.57,-2576.77
4240.44,-2399.44
4313.52,-2450.24
4122.05,-2543.44
4155.39,-2377.12
4100.14,-2428.5
4590.39,-2570.12
4216.35,-2630.69
4327.66,-2615.15
4062.2,-2620.43
4159.53,-2665.88
4239.94,-2676
4535.53,-2619.65
4501.71,-2637.03
4604.5,-2666.6
4358.97,-2695.61
4398.94,-2702.32
4293.51,-2731.9
3993.68,-2612.93
4023.48,-2660.33
4001.93,-2701.4
3944.47,-2599.53
4464.88,-2639.79
4544.86,-2692.44
4480.06,-2698.19
3747.94,-2663.05
3815.42,-2752.89
3743.22,-2754.92
3793.17,-2599.8
3845.19,-2635.29
4560.81,-2769.39
4464.9,-2789.28
4603.69,-2798.58
4416.26,-2763.12
3903.48,-2714.59
4075.46,-2788.53
4240.9,-2837.15
3888.68,-2805.55
3759.34,-2833.5
4414.62,-2832.86
4377.49,-2857.16
4335.69,-2861.4
4463.63,-2869.58
4548.76,-2846.52
4507.63,-2878.46
4294,-2900.91
4235.75,-2246.89
4081.16,-2334.43
4005.12,-2373.07
4739.15,-2258.41
3928.76,-2437.89
4138.66,-2335.64
4083.12,-2387.34
4013.23,-2424.32
3973.81,-2472.6
3894.46,-2521.07
4153.26,-2813.17
5145.78,-2386.33
5186.32,-2280.54
5206.32,-2415.56
5153.3,-2502.35
4780.93,-2653.75
4805.34,-2771.86
5116.81,-2688.44
5144.34,-2711.54
5180.26,-2728.92
5072.11,-2744.87
5078.86,-2790.52
5159.38,-2792.04
5201.79,-2602.22
5238.01,-2812.19
5264.83,-2643.57
5009.25,-2801.07
4867.23,-2755.4
4886.47,-2798.86
4765.93,-2809.19
4940.32,-2887.58
4789.55,-2898.98
5321.3,-2734.56
4803.45,-2972.54
4751.46,-2999.45
5391.2,-2926.59
5364.75,-2961.69
5442.95,-2992.09
5414.31,-3068.63
4925.7,-2998.69
4787.13,-3036.87
4864.61,-3038.96
5012.9,-2973.42
5123.82,-2978.26
5026.74,-3013.16
4951.69,-3034.06
5146.57,-3025.56
5172.5,-3074.83
5524.14,-3064.93
5524.33,-2971.57
4747.54,-3148.56
5580.31,-3036.45
5086.82,-2126.54
5135.34,-2178.08
5050.61,-2226.18
5009.73,-2033.62
5437.32,-2143.57
5522.32,-2162.53
5344.32,-2197.58
4887.89,-2145.59
4817.31,-2179.69
4963.1,-2189.9
4902.16,-2214.63
4976.98,-2236.3
4926.6,-2248.66
4925.61,-2028.67
4973.13,-2060.09
4778.89,-2271.44
4856.27,-2297.04
5020.91,-2259.9
4947.74,-2300.55
5390.83,-2315.05
4998.4,-2316.29
4943.81,-2391.06
5482.42,-2359.87
5325.34,-2375.04
4955.91,-2464.17
5250.31,-2488.06
5619.31,-2451.56
5634.3,-2523.55
5004.56,-2515.86
5040.37,-2534.54
5269.03,-2533.05
5282.82,-2575.58
5477.8,-2518.06
5394.32,-2586.56
5316.33,-2654.56
5589.34,-2890.57
1913.29,-3151.1
1969.72,-3262.2
2039.58,-3237.29
1989.18,-3298.95
2139.17,-3283.13
1965.75,-3399.37
1963.28,-3523.62
1963.93,-3582.89
1882.39,-3613.27
1987.11,-3724.64
1955.2,-3825.96
1962.29,-3906.93
1403.74,-3127.41
1335.14,-3159.63
1455.13,-3100.18
1649.78,-3104.23
1679.21,-3158.59
1374.89,-3204.28
1702.54,-3237.46
1744.63,-3312.51
1846.44,-3339.78
1746.93,-3398.7
1344.46,-3451.13
1457.01,-3447.7
1417.02,-3502.78
1567.92,-3519.76
1507.42,-3612.26
1733.02,-3946.96
1774.96,-4008.38
3023.18,-3074.78
2978.75,-3122.85
3050.09,-3154.21
2899.51,-3110.85
2826.98,-3122.21
2905.09,-3161.48
2858.75,-3220.26
2932.19,-3231.5
2660.27,-3222
3016.62,-3223.9
2968.59,-3225.68
2812.25,-3209.33
2817.81,-3253.47
2475.86,-3187.56
2428.93,-3252.27
2215.34,-3203.04
2314.08,-3195.57
2701.7,-3255.73
2835.68,-3281.58
2867.55,-3283.84
2589.86,-3272.8
2636.39,-3298
2660.82,-3347.27
2413.87,-3324.21
2507.33,-3335.93
2463.99,-3369.09
2771.11,-3365.04
2548.48,-3344.16
2888.45,-3395.69
2247.03,-3343.88
2673.39,-3394.26
2496.34,-3423.13
2197.01,-3401.11
2267.34,-3464.97
2728.06,-3399.7
2761.03,-3466.12
2680.19,-3492.7
2927,-3463.23
2973.07,-3475.99
2169.84,-3497.26
2138.85,-3511.87
2928.24,-3518.47
2997.35,-3536.51
2875.1,-3539.93
2368.61,-3514.57
2297.47,-3514.08
2731.67,-3547.36
3019.25,-3582.62
2925.02,-3592.37
2116.27,-3581.88
2224.38,-3597.84
2708.09,-3605.79
2393.73,-3602.43
2830.91,-3581.57
2114.72,-3645.42
2561.11,-3575.19
2461.64,-3614.52
2540.38,-3638.55
2567.54,-3698.85
2858.75,-3688.01
2698.28,-3705.57
2400.15,-3680.54
2516.49,-3719.77
2619.57,-3725.3
2326.64,-3719.07
2297.87,-3749.08
2388.91,-3786.12
2502.71,-3829.17
2238.7,-3730.2
2328.39,-3809.73
2204.21,-3813.49
2716.39,-3762.63
2745.58,-3821.54
2762.83,-3728.88
2825.64,-3764.06
2797.1,-3803.46
2830.94,-3815.81
2656.05,-3837.62
2919.73,-3783.3
2916.66,-3886.77
3023.52,-3721.56
2992.21,-3788.34
2884.98,-3843.58
2993.48,-3882.56
2412.12,-3856.12
2354.22,-3876.93
2331.79,-3931.31
2198.16,-3933.86
2740.32,-3924.47
2813.99,-3915.68
2600.03,-3875.6
2465.09,-3905.57
2587.96,-3921.1
2298.63,-3985.87
2873.02,-3913.72
2885.93,-3966.98
2988.73,-3974.91
2379.93,-4016.08
3043.09,-3993.47
3118.89,-3953.47
3243.57,-3232.62
3194.39,-3268.86
3306.41,-3275.49
3260.01,-3298.97
3349.68,-3180.84
3188.44,-3394.81
3804.19,-3295.53
3681.32,-3309.55
3768.75,-3404.17
3702.94,-3250.45
3877.59,-3262.18
3764.55,-3346.36
3858.41,-3359.95
3801.45,-3383.93
3558.64,-3289.99
3623.24,-3306.11
3131.47,-3439.22
3535.36,-3404.78
3495.45,-3478.76
3459.68,-3385.79
3737.15,-3430.68
3750.9,-3464.82
3392.62,-3407.81
3294.72,-3481.56
3433.52,-3502.15
3425.88,-3338.53
3703.64,-3526.68
3803.82,-3543.17
3915.9,-3473.1
3873.33,-3553.67
4010.43,-3438.78
3985,-3470.68
3569.14,-3542.96
3508.82,-3569.88
3313.24,-3527.75
3236.5,-3550.72
3314.47,-3583.97
3383.42,-3606.03
3211.83,-3602.07
3845.72,-3639.91
3592.49,-3637.32
3920.64,-3652.6
3480.75,-3681.18
