Cell_ID,Cell_class_id,Cell_class_name
753,1,glial cells
754,0,neuron
755,0,neuron
756,0,neuron
757,0,neuron
758,0,neuron
759,0,neuron
760,0,neuron
761,0,neuron
762,0,neuron
763,0,neuron
764,0,neuron
765,0,neuron
766,0,neuron
767,1,glial cells
768,0,neuron
769,0,neuron
770,0,neuron
771,0,neuron
772,1,glial cells
773,1,glial cells
774,0,neuron
775,0,neuron
776,0,neuron
777,0,neuron
778,0,neuron
779,0,neuron
780,0,neuron
781,0,neuron
782,0,neuron
783,0,neuron
784,0,neuron
785,0,neuron
786,0,neuron
787,0,neuron
788,0,neuron
789,0,neuron
790,0,neuron
791,0,neuron
792,0,neuron
793,0,neuron
794,0,neuron
795,0,neuron
796,0,neuron
797,0,neuron
798,0,neuron
799,0,neuron
800,0,neuron
801,0,neuron
802,0,neuron
803,0,neuron
804,0,neuron
805,0,neuron
806,0,neuron
807,0,neuron
808,0,neuron
809,0,neuron
810,0,neuron
811,0,neuron
812,0,neuron
813,1,glial cells
814,0,neuron
815,0,neuron
816,1,glial cells
817,0,neuron
818,0,neuron
819,0,neuron
820,0,neuron
821,0,neuron
822,0,neuron
823,0,neuron
824,0,neuron
825,0,neuron
826,0,neuron
827,0,neuron
828,1,glial cells
829,0,neuron
830,0,neuron
831,0,neuron
832,0,neuron
833,0,neuron
834,1,glial cells
835,0,neuron
836,0,neuron
837,0,neuron
838,0,neuron
839,0,neuron
840,2,Endo
841,0,neuron
842,0,neuron
843,0,neuron
844,0,neuron
845,0,neuron
846,0,neuron
847,0,neuron
848,0,neuron
849,0,neuron
850,0,neuron
851,0,neuron
852,0,neuron
853,0,neuron
854,0,neuron
855,0,neuron
856,0,neuron
857,0,neuron
858,0,neuron
859,0,neuron
860,0,neuron
861,0,neuron
862,1,glial cells
863,0,neuron
864,0,neuron
865,0,neuron
866,0,neuron
867,0,neuron
868,0,neuron
869,0,neuron
870,0,neuron
871,0,neuron
872,0,neuron
873,0,neuron
874,0,neuron
875,0,neuron
876,1,glial cells
877,0,neuron
878,0,neuron
879,0,neuron
880,1,glial cells
881,0,neuron
882,1,glial cells
883,0,neuron
884,0,neuron
885,0,neuron
886,0,neuron
887,0,neuron
888,0,neuron
889,1,glial cells
890,0,neuron
891,0,neuron
892,0,neuron
893,0,neuron
894,0,neuron
895,0,neuron
896,1,glial cells
897,0,neuron
898,0,neuron
899,0,neuron
900,0,neuron
901,1,glial cells
902,0,neuron
903,0,neuron
904,0,neuron
905,1,glial cells
906,1,glial cells
907,0,neuron
908,0,neuron
909,1,glial cells
910,1,glial cells
911,0,neuron
912,0,neuron
913,0,neuron
914,0,neuron
915,0,neuron
916,0,neuron
917,0,neuron
918,0,neuron
919,0,neuron
920,1,glial cells
921,0,neuron
922,0,neuron
923,0,neuron
924,0,neuron
925,0,neuron
926,0,neuron
927,0,neuron
928,1,glial cells
929,0,neuron
930,0,neuron
931,0,neuron
932,0,neuron
933,0,neuron
934,0,neuron
935,0,neuron
936,0,neuron
937,0,neuron
938,0,neuron
939,0,neuron
940,0,neuron
941,0,neuron
942,0,neuron
943,0,neuron
944,0,neuron
945,0,neuron
946,0,neuron
947,0,neuron
948,0,neuron
949,1,glial cells
950,0,neuron
951,0,neuron
952,0,neuron
953,0,neuron
954,0,neuron
955,0,neuron
956,0,neuron
957,0,neuron
958,0,neuron
959,0,neuron
960,0,neuron
961,0,neuron
962,1,glial cells
963,0,neuron
964,0,neuron
965,1,glial cells
966,1,glial cells
967,0,neuron
968,0,neuron
969,1,glial cells
970,0,neuron
971,0,neuron
972,0,neuron
973,0,neuron
974,0,neuron
975,0,neuron
976,0,neuron
977,0,neuron
978,1,glial cells
979,0,neuron
980,0,neuron
981,1,glial cells
982,0,neuron
983,0,neuron
984,0,neuron
985,0,neuron
986,0,neuron
987,1,glial cells
988,0,neuron
989,0,neuron
990,0,neuron
991,0,neuron
992,0,neuron
993,0,neuron
994,0,neuron
995,0,neuron
996,0,neuron
997,0,neuron
998,0,neuron
999,0,neuron
1000,0,neuron
1001,0,neuron
1002,0,neuron
1003,1,glial cells
1004,0,neuron
1005,0,neuron
1006,0,neuron
1007,0,neuron
1008,0,neuron
1009,0,neuron
1010,1,glial cells
1011,0,neuron
1012,0,neuron
1013,0,neuron
1014,0,neuron
1015,0,neuron
1016,0,neuron
1017,0,neuron
1018,0,neuron
1019,0,neuron
1020,0,neuron
1021,0,neuron
1022,1,glial cells
1023,0,neuron
1024,1,glial cells
1025,0,neuron
1026,0,neuron
1027,0,neuron
1028,0,neuron
1029,0,neuron
1030,0,neuron
1031,0,neuron
1032,0,neuron
1033,0,neuron
1034,0,neuron
1035,0,neuron
1036,0,neuron
1037,0,neuron
1038,0,neuron
1039,0,neuron
1040,0,neuron
1041,2,Endo
1042,0,neuron
1043,1,glial cells
1044,0,neuron
1045,0,neuron
1046,0,neuron
1047,0,neuron
1048,0,neuron
1049,0,neuron
1050,1,glial cells
1051,0,neuron
1052,0,neuron
1053,0,neuron
1054,0,neuron
1055,0,neuron
1056,0,neuron
1057,1,glial cells
1058,0,neuron
1059,0,neuron
1060,0,neuron
1061,0,neuron
1062,0,neuron
1063,0,neuron
1064,0,neuron
1065,0,neuron
1066,0,neuron
1067,1,glial cells
1068,0,neuron
1069,0,neuron
1070,1,glial cells
1071,0,neuron
1072,1,glial cells
1073,0,neuron
1074,0,neuron
1075,0,neuron
1076,0,neuron
1077,0,neuron
1078,0,neuron
1079,0,neuron
1080,0,neuron
1081,0,neuron
1082,0,neuron
1083,0,neuron
1084,0,neuron
1085,0,neuron
1086,0,neuron
1087,0,neuron
1088,0,neuron
1089,1,glial cells
1090,0,neuron
1091,0,neuron
1092,0,neuron
1093,0,neuron
1094,0,neuron
1095,0,neuron
1096,0,neuron
1097,0,neuron
1098,0,neuron
1099,0,neuron
1100,0,neuron
1101,0,neuron
1102,0,neuron
1103,0,neuron
1104,0,neuron
1105,0,neuron
1106,0,neuron
1107,0,neuron
1108,0,neuron
1109,0,neuron
1110,1,glial cells
1111,0,neuron
1112,0,neuron
1113,0,neuron
1114,0,neuron
1115,0,neuron
1116,0,neuron
1117,0,neuron
1118,0,neuron
1119,0,neuron
1120,0,neuron
1121,1,glial cells
1122,0,neuron
1123,1,glial cells
1124,0,neuron
1125,0,neuron
1126,0,neuron
1127,0,neuron
1128,0,neuron
1129,0,neuron
1130,0,neuron
1131,0,neuron
1132,0,neuron
1133,0,neuron
1134,1,glial cells
1135,0,neuron
1136,0,neuron
1137,1,glial cells
1138,0,neuron
1139,0,neuron
1140,0,neuron
1141,1,glial cells
1142,0,neuron
1143,0,neuron
1144,0,neuron
1145,0,neuron
1146,0,neuron
1147,1,glial cells
1148,0,neuron
1149,0,neuron
1150,0,neuron
1151,0,neuron
1152,0,neuron
1153,1,glial cells
1154,0,neuron
1155,0,neuron
1156,0,neuron
1157,0,neuron
1158,0,neuron
1159,0,neuron
1160,0,neuron
1161,0,neuron
1162,0,neuron
1163,0,neuron
1164,0,neuron
1165,0,neuron
1166,0,neuron
1167,0,neuron
1168,0,neuron
1169,0,neuron
1170,0,neuron
1171,0,neuron
1172,0,neuron
1173,0,neuron
1174,0,neuron
1175,0,neuron
1176,0,neuron
1177,0,neuron
1178,1,glial cells
1179,0,neuron
1180,0,neuron
1181,1,glial cells
1182,0,neuron
1183,0,neuron
1184,0,neuron
1185,0,neuron
1186,0,neuron
1187,0,neuron
1188,1,glial cells
1189,0,neuron
1190,0,neuron
1191,0,neuron
1192,0,neuron
1193,0,neuron
1194,0,neuron
1195,0,neuron
1196,0,neuron
1197,0,neuron
1198,0,neuron
1199,0,neuron
1200,0,neuron
1201,0,neuron
1202,0,neuron
1203,0,neuron
1204,0,neuron
1205,0,neuron
1206,1,glial cells
1207,0,neuron
1208,0,neuron
1209,0,neuron
1210,1,glial cells
1211,0,neuron
1212,0,neuron
1213,0,neuron
1214,0,neuron
1215,0,neuron
1216,0,neuron
1217,0,neuron
1218,0,neuron
1219,0,neuron
1220,1,glial cells
1221,0,neuron
1222,0,neuron
1223,0,neuron
1224,0,neuron
1225,0,neuron
1226,0,neuron
1227,0,neuron
1228,0,neuron
1229,0,neuron
1230,0,neuron
1231,0,neuron
1232,0,neuron
1233,0,neuron
1234,0,neuron
1235,0,neuron
1236,0,neuron
1237,0,neuron
1238,0,neuron
1239,0,neuron
1240,0,neuron
1241,0,neuron
1242,1,glial cells
1243,1,glial cells
1244,0,neuron
1245,0,neuron
1246,1,glial cells
1247,0,neuron
1248,0,neuron
1249,0,neuron
1250,1,glial cells
1251,0,neuron
1252,0,neuron
1253,0,neuron
1254,1,glial cells
1255,0,neuron
1256,0,neuron
1257,0,neuron
1258,0,neuron
1259,0,neuron
1260,0,neuron
1261,0,neuron
1262,0,neuron
1263,0,neuron
1264,0,neuron
1265,0,neuron
1266,0,neuron
1267,0,neuron
1268,0,neuron
1269,0,neuron
1270,0,neuron
1271,0,neuron
1272,0,neuron
1273,0,neuron
1274,0,neuron
1275,0,neuron
1276,0,neuron
1277,0,neuron
1278,0,neuron
1279,0,neuron
1280,0,neuron
1281,0,neuron
1282,1,glial cells
1283,0,neuron
1284,0,neuron
1285,0,neuron
1286,0,neuron
1287,0,neuron
1288,0,neuron
1289,0,neuron
1290,0,neuron
1291,0,neuron
1292,0,neuron
1293,0,neuron
1294,1,glial cells
1295,0,neuron
1296,0,neuron
1297,0,neuron
1298,0,neuron
1299,0,neuron
1300,0,neuron
1301,0,neuron
1302,0,neuron
1303,0,neuron
1304,1,glial cells
1305,0,neuron
1306,0,neuron
1307,0,neuron
1308,0,neuron
1309,0,neuron
1310,0,neuron
1311,0,neuron
1312,0,neuron
1313,0,neuron
1314,0,neuron
1315,0,neuron
1316,0,neuron
1317,1,glial cells
1318,0,neuron
1319,0,neuron
1320,0,neuron
1321,0,neuron
1322,0,neuron
1323,0,neuron
1324,0,neuron
1325,0,neuron
1326,0,neuron
1327,1,glial cells
1328,0,neuron
1329,1,glial cells
1330,0,neuron
1331,0,neuron
1332,1,glial cells
1333,0,neuron
1334,0,neuron
1335,0,neuron
1336,0,neuron
1337,0,neuron
1338,0,neuron
1339,0,neuron
1340,0,neuron
1341,0,neuron
1342,0,neuron
1343,0,neuron
1344,0,neuron
1345,0,neuron
1346,0,neuron
1347,0,neuron
1348,0,neuron
1349,0,neuron
1350,0,neuron
1351,0,neuron
1352,0,neuron
1353,0,neuron
1354,1,glial cells
1355,0,neuron
1356,0,neuron
1357,0,neuron
1358,1,glial cells
1359,0,neuron
1360,0,neuron
1361,0,neuron
1362,1,glial cells
1363,0,neuron
1364,0,neuron
1365,0,neuron
1366,0,neuron
1367,0,neuron
1368,0,neuron
1369,0,neuron
1370,0,neuron
1371,0,neuron
1372,0,neuron
1373,0,neuron
1374,0,neuron
1375,0,neuron
1376,0,neuron
1377,1,glial cells
1378,0,neuron
1379,0,neuron
1380,0,neuron
1381,0,neuron
1382,0,neuron
1383,0,neuron
1384,0,neuron
1385,0,neuron
1386,0,neuron
1387,0,neuron
1388,0,neuron
1389,0,neuron
1390,0,neuron
1391,1,glial cells
1392,0,neuron
1393,0,neuron
1394,0,neuron
1395,0,neuron
1396,0,neuron
1397,0,neuron
1398,0,neuron
1399,0,neuron
1400,0,neuron
1401,0,neuron
1402,0,neuron
1403,0,neuron
1404,0,neuron
1405,0,neuron
1406,1,glial cells
1407,0,neuron
1408,0,neuron
1409,0,neuron
1410,0,neuron
1411,0,neuron
1412,0,neuron
1413,1,glial cells
1414,0,neuron
1415,0,neuron
1416,0,neuron
1417,0,neuron
1418,1,glial cells
1419,0,neuron
1420,0,neuron
1421,0,neuron
1422,0,neuron
1423,0,neuron
1424,1,glial cells
1425,0,neuron
1426,0,neuron
1427,0,neuron
1428,1,glial cells
1429,0,neuron
1430,0,neuron
1431,0,neuron
1432,0,neuron
1433,0,neuron
1434,0,neuron
1435,0,neuron
1436,0,neuron
1437,0,neuron
1438,0,neuron
1439,0,neuron
1440,0,neuron
1441,0,neuron
1442,0,neuron
1443,0,neuron
1444,0,neuron
1445,0,neuron
1446,0,neuron
1447,0,neuron
1448,0,neuron
1449,0,neuron
1450,0,neuron
1451,0,neuron
1452,0,neuron
1453,0,neuron
1454,0,neuron
1455,0,neuron
1456,0,neuron
1457,0,neuron
1458,0,neuron
1459,0,neuron
1460,0,neuron
1461,0,neuron
1462,0,neuron
1463,0,neuron
1464,0,neuron
1465,0,neuron
1466,0,neuron
1467,0,neuron
1468,0,neuron
1469,0,neuron
1470,0,neuron
1471,0,neuron
1472,0,neuron
1473,0,neuron
1474,0,neuron
1475,0,neuron
1476,0,neuron
1477,0,neuron
1478,0,neuron
1479,0,neuron
1480,0,neuron
1481,0,neuron
1482,0,neuron
1483,2,Endo
1484,0,neuron
1485,0,neuron
1486,0,neuron
1487,0,neuron
1488,0,neuron
1489,0,neuron
1490,0,neuron
1491,0,neuron
1492,0,neuron
1493,0,neuron
1494,0,neuron
1495,0,neuron
1496,0,neuron
1497,0,neuron
1498,0,neuron
1499,0,neuron
1500,0,neuron
1501,0,neuron
1502,0,neuron
1503,0,neuron
1504,0,neuron
1505,0,neuron
1506,0,neuron
1507,0,neuron
1508,0,neuron
1509,1,glial cells
1510,0,neuron
1511,0,neuron
1512,0,neuron
1513,0,neuron
1514,0,neuron
1515,0,neuron
1516,1,glial cells
1517,0,neuron
1518,1,glial cells
1519,0,neuron
1520,0,neuron
1521,0,neuron
1522,0,neuron
1523,0,neuron
1524,0,neuron
1525,0,neuron
1526,0,neuron
1527,0,neuron
1528,0,neuron
1529,0,neuron
1530,0,neuron
1531,0,neuron
1532,0,neuron
1533,0,neuron
1534,1,glial cells
1535,0,neuron
1536,0,neuron
1537,0,neuron
1538,0,neuron
1539,0,neuron
1540,0,neuron
1541,0,neuron
1542,0,neuron
1543,0,neuron
1544,0,neuron
1545,1,glial cells
1546,0,neuron
1547,0,neuron
1548,0,neuron
1549,0,neuron
1550,0,neuron
1551,0,neuron
1552,0,neuron
1553,1,glial cells
1554,0,neuron
1555,0,neuron
1556,1,glial cells
1557,1,glial cells
1558,0,neuron
1559,1,glial cells
1560,0,neuron
1561,1,glial cells
1562,0,neuron
1563,0,neuron
1564,0,neuron
1565,0,neuron
1566,1,glial cells
1567,0,neuron
1568,0,neuron
1569,0,neuron
1570,0,neuron
1571,0,neuron
1572,0,neuron
1573,0,neuron
1574,0,neuron
1575,0,neuron
1576,0,neuron
1577,0,neuron
1578,0,neuron
1579,0,neuron
1580,1,glial cells
1581,0,neuron
1582,0,neuron
1583,0,neuron
1584,0,neuron
1585,0,neuron
1586,0,neuron
1587,0,neuron
1588,1,glial cells
1589,0,neuron
1590,1,glial cells
1591,0,neuron
1592,0,neuron
1593,0,neuron
1594,0,neuron
1595,0,neuron
1596,0,neuron
1597,0,neuron
